"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000000270510","나미야 잡화점의 기적 :히가시노 게이고 장편소설","히가시노 게이고 지음","현대문학","2012","9788972756194","8","23"
"000000541851","소년이 온다 :한강 장편소설","한강 지음","창비","2014","9788936434120","8","23"
"000001297078","여행의 이유 :김영하 산문","김영하 지음","문학동네","2019","9788954655972","8","22"
"000001481845","미드나잇 라이브러리","매트 헤이그 지음","인플루엔셜","2021","9791191056556","8","18"
"000001550988","내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업","비욘 나티코 린데블라드 지음","다산초당 : 다산북스","2022","9791130689890","2","16"
"000001485420","불편한 편의점 :김호연 장편소설","김호연 지음","나무옆의자","2021","9791161571188","8","16"
"000001058983","파친코 :이민진 장편소설 .1","이민진 지음","문학사상","2018","9788970129815","8","16"
"000000993834","바깥은 여름 :김애란 소설","김애란 [지음]","문학동네","2017","9788954646079","8","15"
"000001563918","하얼빈 :김훈 장편소설","김훈 지음","문학동네","2022","9788954699914","8","15"
"000001508624","지구 끝의 온실 :김초엽 장편소설","김초엽 지음","Giant Books(자이언트북스)","2021","9791191824001","8","14"
"000001543223","도파민네이션 :쾌락 과잉 시대에서 균형 찾기","애나 렘키 지음","흐름출판","2022","9788965965046","5","13"
"000001311391","이기적 유전자","리처드 도킨스 지음","을유문화사","2018","9788932473901","4","13"
"000001383732","(나를 숨 쉬게 하는) 보통의 언어들","김이나 지음","위즈덤하우스","2020","9791190786355","8","12"
"000000722900","구의 증명 :최진영 소설","최진영 지음","은행나무","2015","9788956608556","8","12"
"000001137438","내게 무해한 사람 :최은영 소설","최은영 지음","문학동네","2018","9788954651820","8","12"
"000001508031","밝은 밤 :최은영 장편소설","최은영 지음","문학동네","2021","9788954681179","8","12"
"000001563027","불편한 편의점 :김호연 장편소설 .2","김호연 지음","나무옆의자","2022","9791161571379","8","12"
"000001485574","완전한 행복 :정유정 장편소설","정유정 지음","은행나무","2021","9791167370280","8","12"
"000001332798","코스모스 :특별판","칼 세이건 지음","사이언스북스","2006","9788983711892","4","12"
"000001329643","그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘","앤절라 더크워스 지음","비즈니스북스","2019","9791162540633","3","11"
"000001398447","달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설","이미예 지음","팩토리나인","2020","9791165341909","8","11"
"000001220440","부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판","로버트 기요사키 지음","민음인","2018","9791158883591","3","11"
"000001329652","선량한 차별주의자","김지혜 지음","창비","2019","9788936477196","3","11"
"000001103910","파친코 :이민진 장편소설 .2","이민진 지음","문학사상","2018","9788970129822","8","11"
"000000714404","한국이 싫어서 :장강명 장편소설","장강명 지음","민음사","2015","9788937473074","8","11"
"000001473627","긴긴밤","루리 글?그림","문학동네","2021","9788954677158","8","10"
"000000709744","나는 부동산과 맞벌이한다 :배우자 대신 꼬박꼬박 월급을 가져오는 시스템 만들기","너바나 지음","시공사: 알키","2015","9788952773487","3","10"
"000001318628","대도시의 사랑법 :박상영 연작소설","박상영 지음","창비","2019","9788936437978","8","10"
"000000831695","무빙 :강풀액션만화 .2 ,사람을 구하는 일을 하고 싶었다","강풀 [지음]","위즈덤하우스","2016","9788960869226","8","10"
"000000831698","무빙 :강풀액션만화 .5 ,이젠 날아...있는 힘껏 날아라","강풀 [지음]","위즈덤하우스","2016","9788960869257","8","10"
"000001523906","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","룰루 밀러 지음","곰출판","2021","9791189327156","4","10"
"000000643532","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침","기시미 이치로","인플루엔셜","2014","9788996991342","1","10"
